id,cross_session_id,GFP,Gad2,Reln,Npy,Sst,Pvalb,Cck,Slc17a7,Tac1,Sncg,Pdyn,Vip
1,328,21,52,1,68,0,3,4,0,0,0,1,0
2,352,6,80,2,0,0,18,3,0,8,0,0,1
6,355,14,49,0,0,0,7,5,0,12,0,0,0
7,262,0,0,0,0,0,1,0,0,0,0,0,57
27,284,54,10,2,0,1,0,6,0,0,0,0,0
36,353,79,13,0,0,0,0,95,3,0,0,0,0
40,358,3,84,0,0,0,9,7,0,1,0,0,0
46,306,9,48,1,0,0,1,0,0,0,1,0,91
47,263,0,0,0,0,10,0,0,0,0,0,0,0
50,316,29,80,0,1,0,11,11,1,2,1,1,0
58,343,19,3,0,0,0,0,0,0,0,0,1,1
62,359,33,19,0,4,0,0,24,0,0,0,0,0
64,354,17,36,0,0,0,3,8,0,9,0,1,0
69,324,8,69,0,0,0,0,76,54,0,0,0,2
70,317,7,34,1,0,0,0,0,1,0,0,0,132
77,301,45,5,0,1,1,1,65,0,0,1,1,0
81,300,8,1,0,0,0,0,0,0,0,0,0,0
85,319,2,99,0,247,5,1,30,0,0,1,0,0
87,345,0,56,0,0,0,0,47,103,0,0,0,0
97,320,3,144,0,0,0,0,0,0,0,0,0,0
102,336,9,64,1,168,0,0,3,0,0,0,0,0
106,327,31,59,0,0,0,43,15,1,6,1,0,0
108,334,1,106,0,0,0,16,6,0,25,0,0,0
109,303,0,0,0,0,0,0,0,0,0,0,0,114
