id,cross_session_id,GFP,Gad2,Reln,Npy,Sst,Pvalb,Cck,Slc17a7,Tac1,Sncg,Pdyn,Vip
6,192,12,0,0,0,0,2,0,0,0,1,0,142
16,170,17,1,0,0,0,0,0,0,0,0,0,103
19,171,16,0,0,0,0,1,0,0,0,0,0,112
21,256,25,33,0,155,0,0,41,0,0,0,0,0
22,188,57,6,1,0,1,3,26,0,0,0,0,0
25,168,24,39,0,158,0,0,1,0,0,0,0,0
29,210,14,66,1,0,0,0,0,0,0,8,0,4
32,230,8,43,0,126,0,1,18,0,0,0,0,0
33,248,3,86,0,181,0,1,11,0,0,0,1,0
42,231,4,89,0,0,0,76,11,0,1,0,0,0
44,227,35,66,0,0,0,0,0,0,0,2,0,37
50,232,60,77,0,1,0,86,34,4,2,0,0,0
55,242,1,86,3,0,187,1,6,0,0,0,8,0
56,252,3,89,0,249,1,0,58,0,0,1,1,0
61,234,14,72,0,0,0,15,14,2,24,0,1,0
62,265,27,13,0,0,0,0,0,0,0,0,2,0
66,169,42,11,0,0,1,1,24,0,27,0,0,0
69,229,12,1,0,0,0,0,0,0,0,0,0,103
70,203,0,0,7,0,0,0,0,0,0,1,0,0
71,213,4,64,1,0,0,3,3,0,6,0,0,0
72,198,46,10,0,1,0,13,32,0,0,0,0,0
73,245,35,57,14,1,1,0,12,1,1,12,0,0
84,237,14,79,6,1,231,1,0,0,0,0,16,0
85,183,34,3,0,0,0,0,0,0,0,0,0,0
86,254,19,4,0,0,0,0,0,0,0,0,0,0
87,239,17,53,0,131,1,0,6,0,0,0,0,0
90,167,57,10,74,0,1,2,52,0,0,18,0,0
94,217,14,31,16,0,0,1,0,0,1,1,0,0
