id,cross_session_id,GFP,Gad2,Vip,Npy,Sst,Pdyn,Cck,Sncg,Pvalb,Reln,Tac1,Slc17a7
1,687,135,28,0,1,0,0,13,0,142,5,0,1
3,685,96,15,2,4,0,0,20,0,79,8,1,0
16,705,64,5,0,1,0,1,17,0,135,13,3,5
17,654,55,7,1,3,1,0,16,1,117,1,0,0
19,679,100,17,1,2,0,0,20,0,164,8,2,0
20,696,31,4,23,0,5,5,0,0,3,4,3,0
22,668,62,27,0,5,1,1,30,0,104,2,6,2
24,692,61,46,0,1,1,0,23,0,104,2,8,2
25,659,65,18,0,1,0,0,32,1,134,5,2,0
26,699,53,42,1,0,1,1,29,0,52,1,47,0
33,674,76,19,0,0,1,0,25,1,119,1,51,1
34,693,111,31,1,1,1,1,29,0,174,28,3,0
36,672,16,88,0,238,6,3,25,0,7,2,0,7
38,644,70,5,0,0,0,0,18,0,81,5,0,0
40,700,44,9,1,1,3,0,14,0,79,10,1,0
42,670,36,25,79,0,0,0,0,2,7,0,2,0
43,711,61,24,0,0,1,0,27,0,85,9,4,0
45,689,9,109,1,318,3,3,11,3,1,0,0,0
48,677,76,21,1,3,0,0,26,0,0,5,0,8
49,675,39,21,82,1,0,0,8,1,2,7,3,0
50,697,90,22,2,0,0,0,19,0,181,22,3,0
52,690,84,47,0,0,0,0,44,0,183,3,1,6
53,694,45,12,2,1,1,0,10,0,28,6,10,1
54,706,49,14,0,0,0,0,30,0,103,10,1,1
60,691,12,60,1,189,3,0,71,1,3,1,0,0
61,657,35,15,0,0,2,0,27,0,109,2,0,1
62,701,47,40,0,0,0,1,10,0,159,12,7,1
63,645,57,28,2,1,0,0,24,0,143,1,1,1
66,714,87,45,84,0,2,5,1,30,5,1,0,0
67,708,36,10,1,1,0,0,9,0,118,5,2,0
68,707,32,1,35,0,0,2,1,0,0,1,3,1
70,695,34,47,0,257,3,2,18,1,0,0,0,5
73,680,61,52,2,1,1,0,26,0,118,8,4,1
74,684,0,0,0,0,0,2,0,2,2,0,0,0
80,665,87,53,0,3,0,0,46,0,112,0,7,0
81,681,75,57,1,6,0,0,54,0,120,1,0,2
82,646,42,34,0,286,1,1,16,0,2,0,0,0
