id,cross_session_id,GFP,Gad2,Vip,Npy,Sst,Pdyn,Cck,Sncg,Pvalb,Reln,Tac1,Slc17a7
4,320,132,46,3,0,0,2,13,13,3,0,0,5
9,333,0,0,81,0,0,0,1,0,0,1,0,0
10,306,32,25,0,0,0,0,42,0,4,0,3,0
12,296,27,31,0,62,1,2,4,0,0,2,0,0
14,304,5,92,0,234,0,4,16,1,5,0,0,0
16,261,0,0,0,0,0,4,0,0,2,0,0,0
18,271,0,0,0,0,0,1,0,0,1,0,0,0
20,314,0,0,86,0,0,0,0,0,1,0,0,0
23,310,86,13,0,3,0,1,68,0,62,0,1,0
24,341,42,20,0,231,1,0,85,3,1,0,0,0
25,307,0,0,0,0,0,0,0,1,2,0,0,0
26,288,36,3,37,1,0,1,0,1,2,0,0,0
27,331,17,132,0,0,0,0,44,0,0,0,0,0
29,289,42,15,38,0,0,0,8,0,2,0,0,0
30,275,12,1,119,0,0,1,0,2,1,0,0,0
33,323,41,52,0,0,0,0,55,1,78,1,38,3
36,278,0,0,0,0,0,1,0,1,1,0,0,0
38,342,44,13,66,4,0,1,5,0,5,2,1,0
44,335,31,49,0,120,0,1,82,0,1,0,0,0
45,248,71,18,0,0,0,0,34,0,31,1,18,0
51,242,21,2,57,0,0,0,0,0,2,0,0,0
53,283,1,0,0,0,1,3,99,2,0,1,1,130
54,294,18,7,0,0,0,4,51,0,4,0,31,1
56,265,51,14,92,0,0,6,0,0,1,0,0,0
57,301,19,22,0,240,0,1,110,0,0,0,0,0
58,312,19,1,88,0,0,1,2,1,0,0,0,0
62,272,11,1,61,0,0,0,0,0,0,0,0,0
63,269,14,61,0,60,1,2,21,0,0,3,0,0
66,328,41,82,0,0,0,0,83,0,0,0,0,4
68,290,61,14,0,0,2,2,76,1,28,0,6,2
69,325,1,79,0,3,3,3,0,1,2,38,0,0
70,254,0,0,0,0,0,1,0,1,2,1,1,0
71,298,38,7,87,0,0,0,10,1,0,0,0,2
82,305,4,100,0,6,0,0,71,0,76,0,3,2
84,286,33,25,0,96,0,0,14,0,1,4,1,0
87,287,29,3,88,0,0,0,1,0,0,0,0,0
89,315,16,50,0,88,1,0,56,0,0,3,0,0
