id,cross_session_id,GFP,Gad2,Reln,Npy,Sst,Pvalb,Cck,Slc17a7,Tac1,Sncg,Pdyn,Vip
6,192,12,0,0,0,0,2,0,0,0,1,0,142
17,170,17,1,0,0,0,0,0,0,0,0,0,103
18,201,2,74,0,146,0,0,24,0,0,1,0,0
21,171,16,0,0,0,0,1,0,0,0,0,0,112
23,189,14,51,0,152,0,0,32,0,0,0,0,1
24,188,57,6,1,0,1,3,26,0,0,0,0,0
25,256,25,33,0,155,0,0,41,0,0,0,0,0
30,210,14,66,1,0,0,0,0,0,0,8,0,4
31,230,8,43,0,126,0,1,18,0,0,0,0,0
33,248,3,86,0,181,0,1,11,0,0,0,1,0
43,231,4,89,0,0,0,76,11,0,1,0,0,0
47,227,35,66,0,0,0,0,0,0,0,2,0,37
56,232,60,77,0,1,0,86,34,4,2,0,0,0
61,242,1,86,3,0,187,1,6,0,0,0,8,0
65,212,27,37,50,0,1,0,62,0,0,6,1,0
66,234,14,72,0,0,0,15,14,2,24,0,1,0
73,169,42,11,0,0,1,1,24,0,27,0,0,0
75,203,0,0,7,0,0,0,0,0,0,1,0,0
76,229,12,1,0,0,0,0,0,0,0,0,0,103
77,198,46,10,0,1,0,13,32,0,0,0,0,0
78,213,4,64,1,0,0,3,3,0,6,0,0,0
79,245,35,57,14,1,1,0,12,1,1,12,0,0
91,183,34,3,0,0,0,0,0,0,0,0,0,0
92,254,19,4,0,0,0,0,0,0,0,0,0,0
93,237,14,79,6,1,231,1,0,0,0,0,16,0
95,239,17,53,0,131,1,0,6,0,0,0,0,0
97,167,57,10,74,0,1,2,52,0,0,18,0,0
101,217,14,31,16,0,0,1,0,0,1,1,0,0
