id,cross_session_id,GFP,Gad2,Reln,Npy,Sst,Pvalb,Cck,Slc17a7,Tac1,Sncg,Pdyn,Vip
6,755,58,75,1,0,0,100,28,1,69,0,0,0
8,703,36,18,17,0,0,42,14,2,1,3,1,1
12,758,36,7,0,0,1,4,3,0,21,0,1,0
16,769,19,90,45,0,223,0,3,1,0,0,202,0
19,751,47,9,4,0,1,14,16,0,37,2,1,0
20,686,32,8,12,0,3,2,0,0,0,0,5,121
22,744,13,59,3,0,254,1,0,1,0,1,6,0
28,745,73,27,2,0,1,130,21,4,0,0,0,0
31,689,106,31,0,0,0,103,21,0,39,0,0,0
32,759,7,99,4,1,232,1,4,0,0,1,1,0
34,733,54,16,1,0,1,4,8,0,38,1,0,0
36,740,5,79,32,9,269,0,2,1,0,0,160,0
37,734,17,37,0,176,0,1,28,0,0,2,0,0
38,746,33,8,12,0,0,21,22,104,11,0,0,0
39,763,51,79,0,0,0,0,0,1,0,0,0,0
40,764,44,51,1,0,2,27,3,0,68,0,0,0
41,711,44,18,8,0,0,102,15,2,0,0,0,0
46,779,63,14,5,1,0,74,4,3,0,0,0,0
48,773,23,34,18,0,177,2,4,2,0,0,90,0
50,778,48,19,1,0,0,86,15,1,0,1,1,0
53,739,75,26,0,0,2,27,8,2,101,1,1,0
54,780,43,18,2,0,0,36,15,1,9,0,1,0
56,667,36,3,20,0,12,0,0,0,0,0,29,140
57,783,40,23,5,0,0,31,9,1,29,0,0,0
59,770,73,20,3,1,0,108,10,0,0,0,0,9
62,725,34,21,2,0,0,30,5,0,0,0,0,0
63,714,48,21,7,0,0,24,19,1,7,0,0,0
64,735,47,50,1,0,0,84,23,1,0,1,0,0
65,652,23,5,0,3,0,1,2,5,0,0,1,0
79,710,59,16,0,0,1,51,14,0,26,0,0,0
