id,cross_session_id,GFP,Gad2,Vip,Npy,Sst,Pdyn,Cck,Sncg,Pvalb,Reln,Tac1,Slc17a7
4,247,5,116,0,62,0,0,38,0,1,9,0,1
13,306,32,25,0,0,0,0,42,0,4,0,3,0
14,296,27,31,0,62,1,2,4,0,0,2,0,0
18,304,5,92,0,234,0,4,16,1,5,0,0,0
20,261,0,0,0,0,0,4,0,0,2,0,0,0
22,271,0,0,0,0,0,1,0,0,1,0,0,0
24,314,0,0,86,0,0,0,0,0,1,0,0,0
28,310,86,13,0,3,0,1,68,0,62,0,1,0
31,307,0,0,0,0,0,0,0,1,2,0,0,0
32,288,36,3,37,1,0,1,0,1,2,0,0,0
34,289,42,15,38,0,0,0,8,0,2,0,0,0
35,275,12,1,119,0,0,1,0,2,1,0,0,0
39,278,0,0,0,0,0,1,0,1,1,0,0,0
44,335,31,49,0,120,0,1,82,0,1,0,0,0
45,248,71,18,0,0,0,0,34,0,31,1,18,0
48,242,21,2,57,0,0,0,0,0,2,0,0,0
52,283,1,0,0,0,1,3,99,2,0,1,1,130
53,294,18,7,0,0,0,4,51,0,4,0,31,1
54,265,51,14,92,0,0,6,0,0,1,0,0,0
55,301,19,22,0,240,0,1,110,0,0,0,0,0
56,312,19,1,88,0,0,1,2,1,0,0,0,0
60,272,11,1,61,0,0,0,0,0,0,0,0,0
63,269,14,61,0,60,1,2,21,0,0,3,0,0
68,290,61,14,0,0,2,2,76,1,28,0,6,2
69,285,0,61,0,0,0,2,10,3,2,31,0,2
71,254,0,0,0,0,0,1,0,1,2,1,1,0
72,298,38,7,87,0,0,0,10,1,0,0,0,2
79,305,4,100,0,6,0,0,71,0,76,0,3,2
81,280,26,29,0,212,1,2,70,2,5,0,0,0
83,286,33,25,0,96,0,0,14,0,1,4,1,0
84,287,29,3,88,0,0,0,1,0,0,0,0,0
86,315,16,50,0,88,1,0,56,0,0,3,0,0
